[1, '单元一  新同学 新鲜事']
[2, '听说']
[3, '说出一段意思完整的话']
[4, '阅读']
[5, '理解文章的主要内容']
[6, '写作']
[7, '简单地写出一件事']
[8, '作业']
[9, '听出对话的主要内容']
[10, '词语']
[11, '掌握中一单元一的词语']
[12, '单元二  团圆']
[13, '听说']
[14, '根据起因、经过和结果说出一件事']
[15, '阅读']
[16, '理解事情的起因、经过和结果']
[17, '写作']
[18, '根据起因、经过和结果写出一件事']
[19, '作业']
[20, '听出事情的起因、经过和结果']
[21, '词语']
[22, '掌握中一单元二的词语']
[23, '单元三 相约狮城']
[24, '听说']
[25, '通过细节听出事物的特点']
[26, '通过细节说出事物的特点']
[27, '阅读']
[28, '通过细节理解事物的特点']
[29, '写作']
[30, '通过细节写出事物的特点']
[31, '作业']
[32, '通过细节听出事物的特点']
[33, '词语']
[34, '掌握中一单元三的词语']
[35, '一上作业总复习']
[36, '听出对话的主要内容']
[37, '听出事情的起因、经过和结果']
[38, '通过细节听出事物的特点']
[39, '单元四 习惯的力量']
[40, '听说']
[41, '联系自己的生活经验，就相关话题与人交流']
[42, '阅读']
[43, '通过语言描写和行动描写理解人物特点']
[44, '写作']
[45, '在记叙时加入语言描写和行动描写']
[46, '作业']
[47, '听出对话中时间、原因等具体信息']
[48, '词语']
[49, '掌握中一单元四的词语']
[50, '单元五 创新与改变']
[51, '听说']
[52, '通过空间的转换说出游览的经过']
[53, '阅读']
[54, '通过空间的转换理解文章内容']
[55, '写作']
[56, '通过空间的转换写出游览的经过']
[57, '作业']
[58, '听出对话中地点、物品等具体信息']
[59, '词语']
[60, '掌握中一单元五的词语']
[61, '单元六 小人物 大贡献']
[62, '听说']
[63, '听出新闻中的事实与意见']
[64, '根据事实发表意见']
[65, '阅读']
[66, '判断新闻中的事实与意见']
[67, '写作']
[68, '根据事实写出意见']
[69, '作业']
[70, '听出新闻中的事实与意见']
[71, '词语']
[72, '掌握中一单元六的词语']
[73, '一下作业总复习']
[74, '听出新闻中的事实与意见']
[75, '听出对话中时间、原因等具体信息']
[76, '听出对话中地点、物品等具体信息']
[77, '新闻时事']
[78, '理解新闻时事语料']
[79, '就新闻话题与人交流']
[80, '广泛阅读']
[81, '能感受阅读的乐趣，并愿意与人分享']
[82, '能主动、专注、有计划地阅读']
