[1, '单元一  新同学 新鲜事']
[2, '阅读']
[3, '通过人物描写把握人物特点']
[4, '听说']
[5, '描述人物特点']
[6, '写作']
[7, '在记叙事件时加入人物描写']
[8, '词语']
[9, '掌握中一单元一的词语']
[10, '单元二  团圆']
[11, '阅读']
[12, '找出事物线索，理解文章主题']
[13, '听说']
[14, '针对话题发表看法，并对他人的看法做出回应']
[15, '写作']
[16, '在记叙事件时围绕主题安排线索']
[17, '词语']
[18, '掌握中一单元二的词语']
[19, '单元三 相约狮城']
[20, '阅读']
[21, '通过列举的数字和例子理解事物的特点']
[22, '听说']
[23, '通过列举的数字和例子听出事物的特点']
[24, '通过列数字、举例子说出事物的特点']
[25, '写作']
[26, '通过列数字、举例子写出事物的特点']
[27, '作业']
[28, '通过列举的数字和例子听出事物的特点']
[29, '词语']
[30, '掌握中一单元三的词语']
[31, '单元四 习惯的力量']
[32, '阅读']
[33, '理解文章的详略和主题的关系']
[34, '听说']
[35, '联系自己的生活经验，就相关话题与人交流']
[36, '写作']
[37, '在构思时根据主题的需要安排详略']
[38, '词语']
[39, '掌握中一单元四的词语']
[40, '单元五 创新与改变']
[41, '阅读']
[42, '通过空间的转换理解文章内容']
[43, '听说']
[44, '通过空间的转换说出游览的经过']
[45, '写作']
[46, '通过空间的转换写出游览的经过']
[47, '词语']
[48, '掌握中一单元五的词语']
[49, '单元六 小人物 大贡献']
[50, '阅读']
[51, '理解和判断新闻中的事实与意见']
[52, '听说']
[53, '听出新闻中的事实与意见']
[54, '根据事实发表意见']
[55, '写作']
[56, '根据事实发表意见']
[57, '作业']
[58, '听出新闻中的事实与意见']
[59, '词语']
[60, '掌握中一单元六的词语']
[61, '新闻时事']
[62, '理解新闻时事语料']
[63, '就新闻话题与人交流']
[64, '广泛阅读']
[65, '能感受阅读的乐趣，并愿意与人分享']
[66, '能主动、专注、有计划地阅读']
